Unnamed: 0,Sentences,gay,black,lesbian,chinese,indian
39,Suspects accused of beating gay couple in 2018 return to court,1,0,0,0,0
40,Linas Kojala: Why Lithuania is standing up to China,0,0,0,1,0
41,"After a Boom and a Bust, the South Asian Art Market Is Finally Maturing",1,0,0,1,0
42,North Macedonia's Zaev Condemned for Calling Detainee “Faggot”,0,1,1,0,0
43,"Atlanta gay, bisexual men needed for federal blood donor study",1,0,0,0,0
44,No queer person should face abuse I endured at College of the Ozarks,0,0,0,0,0
45,?,1,1,1,1,1
46,Namara Smith · Popcorn and Stale Plush: Joyce Carol Oates in Motion · LRB 10 February 2022,0,0,0,0,0
47,"COVID and Mental Health in Black, Latino Communities",0,1,1,0,0
48,What It’s Like to Be a Black Student at an Elite Boarding School,0,1,0,0,0
49,What was lost with the Negro Leagues,0,1,1,1,1
50,Erie players in spotlight during Black History Month,0,1,0,0,0
51,"As Korea Moves to Deport 'Mayflower' Church, Chinese Christians Debate Dodging the Cross",0,0,0,0,0
52,6 Faculty Members Recommend Books for Black History Month,0,0,0,0,0
53,Why This Trans Boy Had More Rights a Century Ago Than Many Trans Children Today,1,0,0,0,0
54,Mexican journalists unwavering after spate of killings,0,0,0,0,0
55,'We have to be what we want': The Dinah returns this weekend for 30th anniversary,0,0,0,0,0
56,"Eye to Eye, hand to hand: The enduring impact of photographer JEB's portraits of lesbian lives",1,0,1,0,0
57,"They were already in China's prisons. Now the coronavirus is there, too",0,0,0,0,0
58,Texas Fire Captain Suspended for Exposing 'Penis Ring' to Fast Food Worker,0,0,0,0,0
59,Sondheim's 'A Little Night Music' Gets a Queer Twist,1,1,1,1,1
60,"Researchers find disparities in suicide risk among lesbian, gay, and bisexual adults",1,1,1,0,0
61,'Frida Stroke of Passion' explores Frida Kahlo's bisexual affairs,1,1,1,1,0
62,Derbyshire pub offering customers alcoholic drinks for £1 each,0,0,0,0,0
63,Why Bisexual Representation is a Public Health Issue,1,0,1,0,0
64,QLD Deputy Premier Steven Miles Accidentally Called Scott Morrison A C*** At A Brisbane March,0,0,0,0,0
65,Intercepted Podcast: Bloomberg's Stasi-Style Police and Surveillance Operations Against Muslim Americans,0,0,0,0,0
66,My Weird Aftermath Of Breastfeeding,0,0,1,0,0
67,"As Chinese shun parenthood, firms dangle bonuses, loans and leave",0,0,0,1,0
68,What are the Covid-19 vaccine side effects for women?,0,0,1,0,0
69,"Black Country, New Road’s Perilous Triumph",1,1,1,1,1
70,She Supported Her Child Being Trans. So the State Separated Them.,0,0,1,0,0
71,Biking for Boobies - Breast Cancer Fundraiser,0,0,1,0,0
72,Nats Getty on Coming Out as Trans During a Pandemic,0,0,0,0,0
73,"Latinos See U.S. as Better for Opportunity, Raising Kids, Health Care Access Than Place of Family's Ancestry",1,0,0,0,0
74,Star & Crescent Eating Club Reopens with New Chef,0,0,0,0,0
75,Breast changes during pregnancy: Pictures and symptoms,0,0,1,0,0
76,"In 'Black No More,' the Evolution of Black Music, and a Man’s Soul",1,1,0,0,0
77,"More Gay and Lesbian People are Vaccinated than Straight People, CDC Finds",1,0,1,0,0
78,Controversial Topics in Gay Christian Livin' | Eve Tushnet,1,1,1,0,0
79,Diamond regrets her reaction to Carlton's sexuality on 'Love Is Blind',1,0,1,0,0
80,Marking the Deadliest Year on Record,1,1,1,1,1
81,Kate Hina Sabatine Is Bringing Comedic Queer Content—and Style—to TikTok,1,1,1,0,0
82,Think you might be bisexual? Here's how to work it out,1,1,1,1,1
83,San Pedro 2020 Gato Negro Cabernet Sauvignon-Merlot (Chile),0,0,0,0,0
84,Two High-Powered Black Attorneys Confront a Justice System’s Flaws,0,1,1,0,0
85,"The January 6 Investigation Hearings Were Disturbing, Painful—And Necessary",0,1,1,0,0
86,Historical Treasure: 'The Negro in the History of Indiana' by John Wesley Lyda,0,1,0,0,0
87,‘A wonderful experience’; Chinese-American veterans from Hawaii receive Congressional Gold Medal,1,0,0,1,0
88,Perspective | The case for quoting the n-word in university classrooms,0,0,0,0,0
89,Sex Education is forward step for bisexual male characters on TV,1,0,0,0,0
90,SNP quizzes teens on their sexuality and gender identity when applying for a bus pass,1,0,0,0,0
91,Gay penguins raise newly hatched chick at New York zoo,0,0,0,0,0
92,Celebrating Black History Month: Five pioneers from Broncos history,0,0,0,0,0
93,The Tiff Over Samantha Bee Has Made C*nts of Us All,0,0,1,0,0
94,Am I Bisexual? 15 Things to Know If You're Questioning,1,1,1,0,0
95,Erika Jayne's Angry Outbursts During the 'Real Housewives of Beverly Hills' Reunion Did Her No Favors,0,0,1,0,0
96,George Washington University recants promise to uncover Chinese government critics after artist's satirical Olympics posters appear on campus,0,0,0,0,0
97,American Muslims Are 2 Times More Likely To Have Attempted Suicide Than Other Groups,0,0,0,0,0
98,"5 things you should know about Ramadan, Islam’s holy month of fasting",0,0,0,0,0
99,Pictures: Nigerian contingent on parade as Winter Olympics kicks off in China,0,0,0,0,0
100,"Murkowski, breaking with GOP, says Biden is right to nominate a Black woman to Supreme Court",0,1,1,0,0
101,"Crime Report: February 7, 2022 – Official Website of Arlington County Virginia Government",0,0,0,0,0
102,Missing Chinese tennis player Peng Shuai makes public appearance at youth tournament in Beijing,0,0,0,0,0
103,Australians Were Asked For Their Honest Views On Americans And I Can Feel The Burn Of Their Responses Through My Computer Screen,0,0,0,0,0
104,Kara Walker in Basel: 600 shades of inequality - SWI swissinfo.ch,0,0,0,0,0
105,Latino Hoosiers lead Indianapolis' population growth among racial and ethnic groups,1,0,0,0,0
106,‘Who Else Is Spying on Me?’ Muslim Americans Bring the Fight Against Surveillance to the Supreme Court,0,0,0,0,0
107,The Many Visions of Lorraine Hansberry,0,1,1,1,1
108,How 'QueerTok' is helping bisexual people overcome erasure,1,1,1,0,0
109,98 Best Romantic Movies Of All Time,1,0,0,0,1
110,Cool Papa Bell,1,1,1,1,1
111,These tech founders are heading to a new downtown Knoxville hub for startups,0,0,0,0,0
112,NYU Steinhardt's Educational Theatre Production 'Making Gay History: Before Stonewall' Turns the Popular Podcast ...,1,0,0,0,0
113,"I make my bisexuality clear to new dates. With most women, that disclosure signals the end",0,0,1,0,0
114,Salako-Oyedele enjoins Muslims to participate in politics,0,0,0,0,0
115,US says Chinese warship fired military laser at US aircraft,0,0,0,0,0
116,British Cycling faces revolt as athletes blast its trans policy,0,0,0,0,0
117,Program Between Columbia and United Negro College Fund Links HBCUs and CUIMC,0,1,0,1,1
118,Rune Factory 5 Preview: Live Your Comfy Gay Farming Fantasy,1,0,0,0,0
119,Ben Simmons Reportedly Still Pissed at Joel Embiid For Playing The Blame Game,1,0,1,0,0
120,Violent businessman flew into rage when partner refused to wear jewellery during six month campaign of abuse,0,0,0,0,0
121,Preservation project underway for 1940s film 'Negro Durham Marches On',0,1,1,0,0
122,A short history of the word 'bisexuality',1,1,1,1,1
123,Nevada Democratic debate: Warren slams Bloomberg for calling women “fat broads” and “horse-faced lesbians”,0,0,1,0,0
124,Lot. 6. Blue Cock 20A06292 Direct from “SNOW PRINCE” x “MINDING” (Proven Daughter of “FULL SET” x “PINK EYES”),0,0,1,0,0
125,What’s the Real Difference between Bi- and Pansexual?,1,1,1,1,1
126,A strong force for inclusion | symmetry magazine,1,1,1,1,1
127,How Compton Became a Citadel of Black Power,1,1,1,1,1
128,Babyface Ray Airs Out Big Sean On 'Richard Flair',0,0,0,0,0
129,Ottawa Beach Inn closed for good as ownership plans Mexican restaurant,0,0,0,0,0
130,"Cpics, A New Streaming Outlet Focused On South Asian Fare, To Launch In U.S. In 2022",0,0,0,0,1
131,This Is Our Story,1,1,1,1,1
132,I think I am bisexual. What should I know?,1,1,1,1,1
133,I Am Not Your Negro,1,1,1,1,1
134,Drug-resistant strain of STI affecting gay and bisexual men is on the rise in London,1,0,1,0,0
135,I visited the 3 lesbian bars left in NYC for the first time,0,0,1,0,0
136,Afro-Latino Revolutionaries From The 19th Century Still Echo Today : Alt.Latino,1,1,1,0,1
137,Award-winning independent queer film THE GREENHOUSE to premiere on NETFLIX,0,0,0,0,0
138,Bizzy Bone Apologies for Three 6 Mafia Verzuz Brawl,0,0,0,0,0
139,Preserving Austin's Black History - Division of Diversity and Community Engagement,0,1,1,0,0
140,"A Uyghur Skier Became the Face of China’s Winter Olympics. The Next Day, She Vanished From the Spotlight.",0,0,0,0,0
141,'It felt like there was a resistance to foreigners coming into Irish dance',0,0,1,1,0
142,A history of the movement to criminalise marital rape across the world,0,0,1,0,0
143,Gavin and Stacey viewers complain about 'offensive' use of slur,1,1,1,0,0
144,"Ahhhh, thanks for the info!",1,1,1,1,1
145,Organization of Islamic Cooperation are meeting in Islamabad on Sunday to explor,0,0,0,0,0
146,Taiwan reports new large-scale Chinese air force incursion,0,0,0,1,0
147,Trans Activist Fights Back Against Police Harassment and Winds Up Changing the System [Video],0,0,0,0,0
148,China-US: Xi Jinping Backs New Generation Of Startups In Tech War,0,0,0,0,0
149,Clock the Cock in Jesse Tyler Ferguson and Justin Mikita's Kitchen,0,0,0,0,0
150,The Best LGBTQ+ Couples In The Arrowverse | CBR,1,1,1,0,0
151,"Division among Jats, silence of Muslims in west leave UP political parties guessing",0,0,0,0,0
152,Fairytale of New York: 'Faggot' row that became our worst festive tradition,0,0,1,0,0
153,Wizards celebrate Chinese New Year presented by ORG Packaging,0,0,0,1,0
154,Gen. Milley Defends His Call To A Chinese General About Trump's Rhetoric And The U.S.,0,0,0,1,0
155,Amir Locke was fatally shot by Minneapolis police. The case is under review,0,0,0,0,0
156,Derbyshire gay man experienced church exorcism meant to turn him straight,1,0,0,0,0
157,"As U.S. Hunts for Chinese Spies, University Scientists Warn of Backlash",0,0,0,0,0
158,"Trailblazing lesbian publisher Kim Corsaro was 'wondrous, determined' - 48 hills",1,0,1,0,0
159,SUNS LEGACY PARTNERS CELEBRATE BLACK HISTORY WITH MONTH OF DEDICATED INITIATIVES,1,0,1,0,0
160,House of Representatives Passes China Competition Bill,0,0,0,1,0
161,Bisexual - How to know if you're bisexual,1,1,1,1,0
162,Reflections On Race: Art exhibit illuminates Black experience,0,1,1,0,0
163,Outlander's John Bell 'had moments of wanting to pray the gay away',1,0,1,0,0
164,"'Those aren't boobies, they are muscles': Boris Johnson corrects boy's cute Incredible Hulk error",1,0,0,0,0
165,"At 95, Bill Greason Remains An Everlasting Link To Baseball's Negro Leagues",0,0,0,0,0
166,"For U.S. Latinos, COVID-19 Has Taken a Personal and Financial Toll",1,1,1,1,0
167,Pixar's 'Onward' Introduces Lesbian Character Voiced By Lena Waithe,1,0,1,0,0
168,"In 1986, Golden Girls Created the Most Enduring Lesbian Joke on Television",1,0,1,0,0
169,Hockey player Zach Sullivan comes out as bisexual,1,0,1,1,0
170,Man who threatened to kill Pelosi and Bowser pleads guilty,0,0,0,0,0
171,BACHIE RECAP: It’s Week 2 And We’ve Already Reached The Calling Another Woman A ‘C*nt’ Stage,0,0,0,0,0
172,Howard Brown To Buy Pioneering Gay Bar Little Jim's For A Major Expansion In Lakeview,1,0,0,0,0
173,Parody of 'Old Town Road' celebrates Edison's South Asian culture,1,1,1,1,1
174,Trump's Three Year Campaign to Separate Families: The Muslim Ban,0,0,0,0,0
175,She understands she has as much right to demand that people stop defaming her client as they have to express their views about her client in the first place.,0,0,0,0,0
176,Am I Androsexual? 14 Things to Know If You're Questioning,0,1,0,0,1
177,"Glenstone is Hosting a Major Faith Ringgold Exhibition This Spring, Maryland Museum is Only US Venue For the Expansive Survey",0,0,0,0,0
178,The Gentlemen And The C-Word: Watch The Cast React To The Movie's Profanity,0,0,0,0,0
179,New Zealand man threatened with prosecution over penis pothole drawings,1,0,0,0,0
180,A Latina scientist co-created a new Covid vaccine. She's nominated for the Nobel Peace Prize.,0,0,0,0,0
181,NBA Star Kevin Durant's Homophobic Rant at Michael Rapaport Revealed,1,0,0,0,0
182,“Negro Speed King” Charlie Wiggins' History was Nearly “Eraced”,0,1,0,1,0
183,Roxane Gay's Hunger: A reminder that creative work exists beyond its author,1,0,1,0,0
184,15 Keto-Friendly Chinese Foods,1,0,0,1,0
185,Chinese dialects in decline as government enforces Mandarin,0,0,1,1,0
186,Julianna Margulies on playing a lesbian on 'The Morning Show',0,0,1,0,0
187,Federal Appeals Courts Agree: Trans People Belong in Schools,0,0,0,0,0
188,Delhi Rewind: How Sir Ganga Ram Hospital stood the test of Partition in Lahore as well as Delhi,0,0,0,0,0
189,'Encanto' star Jessica Darrow is your new favourite queer icon,1,0,1,0,0
190,"Illinois law bans hair discrimination in schools, how it aims to encourage black hair empowerment",0,0,0,0,0
191,Google bans cafe's advert for traditional faggots after deeming it 'inappropriate and offensive',0,0,0,0,0
192,‘It’s OK to be gay’: family supports 12-year-old in first Pride March,1,0,0,0,0
193,JoJo’s ShakeBAR Naperville Location Opening February 15,0,0,0,0,0
194,Why Kevin Hart Shouldn’t Have Played a Victim on ‘Ellen’ (Guest Column),0,0,0,0,0
195,Pixar's Onward finally gets the “exclusively gay moment” right.,1,0,1,0,0
196,"Harlem Renaissance at 100: Angelina Weld Grimké, Lesbian Poet Laureate",1,1,1,0,0
197,Negro Creek renaming effort in Johnson County gets underway — here's how to give input,0,1,0,0,0
198,"In Arkansas, Trans Teens Await an Uncertain Future",1,1,1,0,0
199,"Best Bisexual Dating Sites for Straight, Questioning, and Polyamorous Singles & Couples",1,0,1,0,0
200,18 most anticipated Latino books of 2022 - TODAY,1,0,0,0,1
201,A leader of an Ohio Muslim organization was fired for spying for a hate group,0,0,0,0,0
202,Unreleased Nas Freestyle Dissing Tupac Shakur Surfaces - Listen,1,0,0,0,0
203,Trans purity test has lost touch with reality,1,1,1,1,1
204,My Child’s Egg Donor Is Latin American. Does That Make Him Latino?,0,0,0,0,0
205,DJ Nigga Fox: Cartas Na Manga Album Review,0,0,0,0,0
206,February farmers markets in Las Vegas focus on sharing Black experience,0,0,0,0,0
207,Gavin and Stacey viewers complain about 'offensive' use of slur,1,1,1,0,0
208,What do Muslims believe and do? Understanding the 5 pillars of Islam,0,1,0,0,1
209,This week's Euphoria is what we've all been waiting for,0,0,0,0,0
210,"No Return, ITV, review: Yet another stellar performance from Sheridan Smith",1,0,1,0,1
211,Should Schools Have an N-Word Policy? Uproar Over Guard's Firing Forces Hard Questions,0,0,0,0,0
212,"Read the New Pamphlet, “Muslims and Latter-day Saints”",0,0,0,0,0
213,"Meet The ‘Lesbian Skip,’ An Essential Deltarune Speedrunning Strat",0,0,1,0,0
214,"After more than 1,000 years, this English pub is closing its doors",0,0,0,0,0
215,Slavery at the Jersey Shore: How some make sure it's not forgotten,0,1,0,0,0
216,How the massive success of Soul Train proved the power of Black audiences : Planet Money,1,1,0,0,0
217,Olympic Diplomacy & Ukraine Crisis: The US Cornered? – Telegraph Nepal,0,0,0,0,0
218,Agusan farmers soon to be freed from traders' bondage,0,0,0,0,0
219,Ringo Starr Drops Legal Battle Against 'RingO' Penis Rings,0,0,0,0,0
220,"Ed Schoenfeld, Impresario of Chinese Cuisine, Dies at 72",0,0,0,1,0
221,Learn About Black History in 9 Unexpected Places · National Parks Conservation Association,0,1,0,0,0
222,Deadnaming and misgendering of trans people puts trans lives at risk,1,1,1,0,0
223,Raum: Daughter Album Review,0,0,1,0,1
224,"Chrissy Teigen, Ayesha Curry, & More Celebrity Women Who Had Their Breast Implants Removed",0,0,1,0,0
225,Woman arrested after video of Spoons bouncer being called the n-word goes viral,0,0,0,0,0
226,Thriving While Trans Essay by Ashlee Marie Preston,0,0,1,1,1
227,Did Matthew Broderick starred in a movie with a Komodo Dragon?,0,0,0,0,0
228,San Pedro 2020 Gato Negro Cabernet Sauvignon (Chile) Rating and Review | Wine Enthusiast,0,0,0,0,0
229,Cover Stars Anthony Rapp and Wilson Cruz Are the 'Space Dads' We Need,1,0,0,0,0
230,2 Chainz Catches Fabolous Getting His Nails Done While Out at Dinner - Watch,0,0,0,0,0
231,"AMD Ryzen 5000 ‘Zen 3’ B2 Stepping Tested: CPUs Offer Lower Temperatures, Lower Power Consumption, Stable Boost Clocks & Better DDR4 Support",0,0,0,0,0
232,Dwyane Wade says trans daughter Zaya knew gender identity since she was 3 years old,0,0,1,0,0
233,Maryland House of Delegates Censures Mary Ann Lisanti for Using Racist Slur,0,0,1,0,0
234,"Evolution of a Serial Killer: Dennis Rader, BTK",0,0,0,0,0
235,Why this Black trans activist owes everything to his “praying granny”,0,1,1,0,0
236,Barack Obama “ashamed” he used anti-gay slurs as a teenager,1,0,1,0,0
237,Creating a welcome environment for the transgender community,1,1,1,1,0
238,Latino population continues to grow in St. Louis region,1,0,0,0,0
239,David Olusoga Wants Britain to Face Its Past. All of It.,0,0,0,0,1
240,‘Empty promises’: The US’s ‘Muslim ban’ still reverberates,0,0,1,0,0
241,When Does a Penis Stop Growing? Later Than You Think.,1,0,0,0,0
242,The history and importance of the Negro national anthem,1,1,0,0,0
243,"""Built Different"" | Rudy Gay Overcomes The Odds On And Off The Court",1,0,0,0,0
244,Chinese woman stuck in blind date's house by sudden Covid lockdown,0,0,0,0,0
245,31 Women Who Came Out in 2021,0,0,1,0,1
246,"Bayard Rustin, Gay Civil Rights Leader, Is Pardoned in California",1,0,0,0,0
247,'It's Not Realistic To Be a Criminal Anymore': Spanian Says He Deserves To Be A Superstar,1,0,0,0,0
248,New Netflix Film Updates Small-Town Drama Genre,0,0,0,0,0
249,Michigan city gets ready to inaugurate all-Muslim government,0,0,0,0,0
250,"Fans Thought Ryan Phillippe Came Out as Gay, But His Friend Clarified That Post",1,0,1,0,0
251,"Jameela Jamil, bisexuality, and the anxiety of not feeling 'queer enough'",1,1,1,1,0
252,"Yes, There’s a New Gay Bar in Greenwich Village",1,0,0,0,0
253,Foreign-born Black adults in the US have lower cardiovascular risk,1,1,1,1,0
254,Political Notes: Lesbian San Mateo supervisor candidate Parmer-Lohan starts 2022 in strong position,1,0,1,0,0
255,India Has Its Own Ideas About Russia and Ukraine,0,0,0,0,1
256,Seeking Therapy in the South Asian Community,0,1,1,0,1
257,U.S. charges China's Hytera with conspiring with ex-Motorola staff to steal technology,0,0,0,0,0
258,Preposterous: India on allegations over delay in confirmation of Pak envoy to US,0,0,0,0,1
259,Miranda Hobbes 'And Just Like That' Sexuality Essay,1,1,1,1,1
260,En video: La policía de Minneapolis mata a joven negro en su casa. La madre dice que lo ejecutaron | Noticias,0,1,0,0,1
261,Is There a New Lesbian Aesthetic?,1,1,1,1,1
262,Chrissy Teigen Shows Breast Scars in New Instagram Video | Health.com,0,0,1,0,0
263,Can Whoopi Goldberg’s The View suspension actually do some good?,1,1,1,1,1
264,This woman entrepreneur’s dating and matchmaking app focuses on South Asian singles and parents,0,0,1,0,0
265,Prince George's County judge orders controversial redistricting map to be scrapped,0,0,0,0,0
266,There is a Coordinated Attack Against Trans Youth in State Legislatures,0,0,0,0,0
267,A tennis player yelled anti-gay slurs at the Olympics. He blamed the weather.,0,0,0,0,0
268,"Man Hurls Anti-LGBTQ Slurs, Threats at Gay Couple's Home in Staten Island – Gay City News",1,0,0,0,0
269,"Balaclavas Are Trendy, but for Some Muslim Women It’s More Complicated",1,0,1,0,0
270,Let’s Talk About The Rumors Of Tom Felton Being Transphobic,1,1,1,1,1
271,Trump's biggest asset in the election was that he wasn't Hillary.,0,0,0,0,0
272,YouTuber Josh Pieters tricks Katie Hopkins into accepting fake award,0,0,0,0,0
273,12 Queer Bookstagram Accounts to Follow for Fabulous LGBTQ+ Recs,1,0,1,0,0
274,"This Gay X-Man Is Getting the Cute, Queer Prom of His Dreams",1,0,0,0,0
275,'I told my wife & kids I was gay but now I can't speak to my family in Nigeria',0,0,0,0,0
276,Lewis Hayden was a fierce protector of Black people fleeing slavery,0,1,0,0,0
277,What are These Boobies Doing in Maine?,0,0,1,0,0
278,Trans-cab driver dangerously cuts motorcycle's path twice at Yishun Central,0,0,0,0,0
279,Larry Doby Deserves More Recognition In MLB,1,0,0,0,0
280,"Wrongly accused of genital cutting, a Muslim mom won't accept 'case closed'",0,0,1,0,0
281,Michelle Visage Removed Her Famous Breast Implants to Save Her Life. Now She's On a Whistleblowing Mission.,0,0,0,0,0
282,Trans-Australian railway flood gives Good Drinks competitive edge,1,0,0,0,0
283,College Football: Diego Fagot leaves Navy as a leader and a winner,0,0,0,0,0
284,Pansexual vs bisexual: What is the difference?,1,1,1,1,1
285,How a fight over transgender rights derailed environmentalists in Nevada,0,0,1,0,0
286,The coronavirus outbreak likely started in a Wuhan wet market: photos,0,0,0,0,0
287,It's easy:  Other people's money.,1,0,0,1,1
288,"Atari Denies That Soulja Boy Owns the Company, Soulja Goes Off - Watch",0,0,0,0,0
289,Do I Need to Be Visibly Queer?,1,1,1,1,1
290,Nardo Wick – Who Want Smoke?? (Remix) Lyrics,1,0,1,0,0
291,Vinny Del Negro beats John Smoltz at Edgewood Tahoe,0,0,0,0,0
292,Future – Life Is Good Lyrics,1,1,1,1,1
293,Helado Negro talks new album Far In,0,0,0,0,1
294,"In 1919, a Mob in Maine Tarred and Feathered Two Black College Students",0,0,0,0,0
295,Bride-To-Be Branded 'Homophobic' After Telling Lesbian Sister To Bring Groomsman As 'Date',1,0,1,0,0
296,Sara Ramirez Is Not Che Diaz,0,1,1,1,1
297,"Samantha Bee's apology for calling Ivanka Trump a ""feckless"" c-word is perfect",0,0,1,0,0
298,Ranavat Is the First South Asian-Founded Ayurvedic Skin-Care Brand at Sephora | Review,0,0,0,0,0
299,lego sued for copyright infringement over queer eye jacket,1,0,1,0,0
300,Eminem's youngest child comes out as non-binary on TikTok,1,0,0,0,0
301,Model and TV Host Rachael Finch Undergoes Surgery After Breast Implant Rupture: 'Uphill from Here',0,0,0,0,0
302,Akademiks Comes To The Defense Of Roddy Ricch,0,0,0,0,1
303,15 Negro Leagues locations you need to see,0,1,0,0,0
304,Fallbrook Is Nearly a Majority-Latino Town. Until Recently It Had No Latino Representatives — Voice of San Diego,1,0,0,0,0
305,'We are fighting for the rights of all Muslim women',0,0,1,0,0
306,Lil Nas X Reveals He's in a Relationship and Thinks ‘This Is the One',1,0,1,0,1
307,How South Asian Temple Dancers Fought Moral Reform,0,0,1,0,0
308,"Muslim boy, 12, who prayed outside because prayer room was closed was 'forced to stop' by a teacher",0,0,0,0,0
309,The best baseball players born on Nov. 19,1,0,0,0,0
310,20 Chinese Foods You Need To Try At Least Once,0,0,0,1,0
311,Why I'm reclaiming the homophobic slur I used to fear,1,1,1,0,0
312,Lust actress about her lesbian character,1,0,1,0,0
313,LeDuc to become 1st openly nonbinary US Winter Games athlete,0,0,0,0,0
314,Lzzy Hale Shares Dark Fan Story That Inspired New Halestorm Song,1,1,1,0,0
315,'90 Day Fiancé': Angela and Michael Are In Complete Shock Over Her Breast Reduction Surgery,0,0,0,0,0
316,"Living in Bondage, God Calling lead nominations for 7th AMVCAs",0,0,0,0,0
317,Black worker at Confederate site raises race complaint,0,1,1,0,0
318,MSNBC Anchor Denies Saying Slur During Kobe Bryant Clip,0,0,0,0,0
319,"More Than Gender, Trans Am Examines Life's Many Transitions - WCP",1,1,1,0,0
320,Trans woman at Rikers sexually assaulted in men’s jail: suit,0,0,0,0,0
321,Virtual Voices of the Game: Adrian Burgos on Minnie Miñoso,0,0,0,0,1
322,"Lesbian state Senate candidate wants to create solutions, not problems",1,0,1,0,0
323,‘I Will Not Sit Quietly’: 3 Black Senators in Spotlight on Voting Rights,0,1,1,0,0
324,How are the Chinese New Year animals decided and what’s the story behind the Chinese Zodiac?...,0,0,0,1,0
325,"Faith: You shall know the truth, and the truth shall make you free",1,0,0,0,1
326,Comedian Michael Blackson Says Dave Chappelle Snitched on DaBaby,1,0,0,0,0
327,Hockey fans brutally punch & kick gay man outside of arena after game,0,0,0,0,0
328,"Joseph Hawley: From slavery's bondage to businessman, councilman",0,0,0,0,0
329,"Leeds goalkeeper Kiko Casilla was banned for using N-word, confirms FA",0,0,0,0,0
330,Passing as a trans woman comes with unexpected costs,1,1,1,1,1
331,Black and Latino Voters Are Looking for ‘More Than Just Some Token Words’,1,1,1,1,0
332,Doctors Debate Whether Trans Teens Need Therapy Before Hormones,0,0,1,0,0
333,11 Bisexual Tropes I'm Honestly Tired Of Seeing In TV And Movies,1,0,1,0,0
334,New Destructoid Episode: From Dust To Boobies,0,0,0,0,1
335,'The Handmaid's Tale' Season 4 Episode 10 Recap: Fred's Fate & June's Are Intertwined,0,0,1,0,0
