,sent,preds
54,"Once upon a time there as popular slogan:  ""Speed kills"".",0
55,Trump voters don't want access to health care or anything which would help them out.,1
56,"No, Obama.",0
57,Scammers Use Facebook Job Posts to Target San Jose's Latino Community,0
58,Your comments are ignoring the fact that the Constitution gives us freedom FROM religion as well as the freedom to practice it.,0
59,"The Making Of Bobby Shmurda’s ""Hot Nigga"" With Jahlil Beats",0
60,Reflections On Race: Art exhibit illuminates Black experience,0
61,"Rudy Gay isn't expected back soon, but he tells Utah Jazz fans not to be worried",0
62,"Fans Thought Ryan Phillippe Came Out as Gay, But His Friend Clarified That Post",0
63,Muzaffarnagar not stadium for Hindu-Muslim matches: Tikait,0
64,Uh huh.,0
65,Has homosexuality changed?,0
66,Hedi El Kholti and Chris Kraus on Sylvère Lotringer,0
67,"The point of the parade, is that they set a poor example.",0
68,A Bachie Contestant’s Alleged Texts About The Dog C*nt Saga Have Leaked & They’re Fkn Spicy,1
69,The news report is not fake.,0
70,"Islamophobia in the US did not start with Trump, but his tweets perpetuate a long history of equating Muslims with ...",0
71,Miley Flashed Cody Her “Boobies” In The Recording Studio Which Is Primo Motivation TBH,0
72,Hindu Right Groups Threaten Gujarat Bus Operators Who Stop at Muslim-Owned Dhabas,1
73,I was curious about this so I read what I could find on Green.,0
74,"Home - Office of Lesbian, Gay, Bisexual, Transgender, Queer Affairs",0
75,Exactly why would an adult want to consume this poison in every glass of water every day of life?,1
76,What is there to say?,0
77,Frank Harris III: If the N-word were a crime,1
78,"The Taliban's Deobandi Islam Comes From India, Not Afghanistan",0
79,It's all about who you know.....not what you do...wrong wrong wrong,0
80,Meet the disability advocate petitioning to make dating apps more inclusive,0
81,"People watch cock fighting in Mazar-i-Sharif, Afghanistan - Xinhua | English.news.cn",0
82,"Dream of Black pastor, Jewish doctor more than medical center",0
83,"IMHO... Trump should de-invite ""journalists"" from ABC, NBC, CBS and CNN from White House announcements.",0
84,I was already grabbing the Michigan data before you posted that :)  Just takes a little bit to pull it all together.,0
85,It's not a straw man.,0
86,"Muslim daughter, 19, and her beer and bacon-loving father, 52, poke fun at their relationship",0
87,Bill abandons trans students: advocates,0
88,"Remember, Harper approached China on bended knee when he had to negotiate with China.",0
89,Australia also has better gun laws.,1
90,I understand what you are saying.,0
91,Apparently you missed the back half of the story.,0
92,The first bisexual Bachelorette and the messy history of bisexual representation on reality TV,0
93,"Ramsey Nouah on Nollywood, Living in Bondage, and Being a Director",0
94,"The Best Sex Toys For Lesbians, According to a Lesbian",1
95,"Inside China's Olympic Bubble: Sleeping Pods, Meals Served By Robots",1
96,"drsfreud : ""Is it really a surprise that climate deniers are also mysogynistic deniers?",0
97,"More Gay and Lesbian People are Vaccinated than Straight People, CDC Finds",0
98,"So then, Phil, when you see the signs saying ""This is public land"", you don't believe that?",0
99,Today (May 5) I heard that Pete passed on.,0
100,The Missing Voice From the Olympic Boycott,0
101,What a load.,1
102,Texas county's book fight could signal rising school board partisanship,0
103,"get your resume ready yellin , with lefty nonsense like that, you will not be renewed",1
104,'Bisexual men do exist' • The Tulane Hullabaloo,1
105,"Yeah, they are.",0
106,"This whole idea of public-private initatives is ludicrous, at this point in time.",0
107,Do Black Lives Matter? Part 2: The devaluation of Black people in politics and law,0
108,J. Cole – ​​punchin ' . the . clock Lyrics,0
109,'American Born Chinese' Disney+ Series Adds Michelle Yeoh & More to Cast,0
110,"The New Testament did in fact borrow much from first century science, i.e., from Stoic and Middle Platonic physics.",0
111,Just my observation that traffic on the Piikoi on ramp backs up onto that ramp down to Piikoi where it is not on the H1.,0
112,[We won't even own our infrastructure ] How much of any progressive nation's infrastructure is publicly owned?,0
113,"""Wrong mine, wrong place, wrong time.",0
114,Wow !,0
115,"CIVIL COMMENTS IS JUST LIKE RUSSIAN COMMENTS IN THEIR NEWSPAPERS 
YOU CAN ONLY SAY WHAT THE GOVERNMENT ALLOWS
NOT IN USA 
CIVIL COMMENTS LLC IN PORTLAND OREGON IS A DOMESTIC TERRORIST GROUP!!",1
116,Report - Kendrick Lamar Might Drop New Song Before Super Bowl Performance,0
117,"Sounds like an old story: predator stalks prey while vulnerable PS so glad you gave away your ""title"" so that others can use this as a negotiating tactic",0
118,"Anything can happen, I guess.",0
119,Vehicle fire closes Trans-Canada lanes near Helmcken Road,0
120,"And yes, speaking of conflicts of interest neither judges nor legislators should be included in PERS.",0
121,Well said Eileen.,0
122,Baseball fans keep Negro League player’s legend alive,0
123,"Language is important for the health of all Australians, including trans people",0
124,Sort of like Barry's nobel.,0
125,Creating a welcome environment for the transgender community,0
126,"Google keywords: ""assad torture children""",1
127,"The Deplorables comment worked real well for you and your gal Clinton, didn't it?",0
128,Vampire finches: how little birds in the Galápagos evolved to drink blood,1
129,"“When a person crosses the border in an irregular fashion, it’s not a free ticket to Canada,” he said.",0
130,US ambassador: China trying ‘to distract us’,0
131,"Delta, WTH?!",0
132,LGBTQ students navigate health care gaps in Columbia,0
133,Negro Leagues had their own two-way stars,1
134,"Re ""the presence of an army of Russian cyber-goblins determined to affect the outcome of the election"", it is tiresome to repeat this but the Clintons were undone by Wikileaks.",0
135,13 LGBTQ royals you didn’t learn about in history class,0
136,Pam & Tommy: Talking Penis Scene Shocks Viewers,1
137,The NDP left office with a budget surplus the last time they were in power.,0
138,The Unraveling of the Muslim World,0
139,And you are a spiteful belligerent prickholder,1
140,A clear conflict of interest.,0
141,"Insults, the Tory way.",0
142,Indian Art Moves Into the Multi-Billion Dollar Crypto Tokens Market,0
143,Osinbajo’s arrogant shoes in the North,0
144,Where Is China Investing? Communist Leaders Are Becoming Venture Capitalists,0
145,"Living on Purpose When Praying for Rain, Don't Forget Your Raincoat - Winchester Sun",0
146,"James Bidgood, a Master of Gay Photography, Dies at 88",0
147,"Anti-Vaxxer Allegedly Threatened Fauci With Scalping, Torture, Death",0
148,Mainstream media continues to play politics with the people of the US.,0
149,Kristen Stewart and Margot Robbie together have inifinite queer energy,1
150,"5 Movies My Kids Love And Yeah, I Feel Guilty About It",0
151,"Some definitions are faulty, but not this one.",0
152,Learn About Black History in 9 Unexpected Places · National Parks Conservation Association,0
153,2.3 million in assets and she's going to work another 7 years.,0
154,Is a new draft law in the Maldives aimed at muzzling criticism of India?,0
155,"After more than 1,000 years, this English pub is closing its doors",0
156,"Gee, doesn't sound to me like anything was ""mischaracterized.""",0
157,Too funny.,0
158,Germany: Include Trans People in Coalition Agreement,0
159,what section of the bible defines sin?,0
160,Rochdale you are full of it.,0
161,"""Then there's the EU itself, represented officially by Juncker, and de facto by Merkel, furiously trying to keep the wheels from falling off the EU model.""",0
162,The Christy Clark minions are reading the tea leaves and they don't look good,0
163,The Internet Is Coming for Gina Rodriguez for Using the N-Word & Non-Black Latinos Need to Be Listening,1
164,Opinion | How Italians Became 'White',0
165,Big boy pants?,0
166,Kavi Sammelan and Mushaira to be held in Dubai for Indian Republic Day,0
167,"Pastor says he doesn't hate gay people, he just thinks they're all pedophiles who should be executed",1
168,Black History Month | African American Cultural Center | NC State University,0
169,Kimberly Williams must be an antisocial.,0
170,Tien Tran's 'How I Met Your Father' character navigates NYC dating as a queer divorcée,0
171,Texas Fire Captain Suspended for Exposing 'Penis Ring' to Fast Food Worker,1
172,One feels pity for this young woman.,0
173,Black Culture Connection,0
174,China's Covid-Era Controls May Outlast the Coronavirus,0
175,The OAS clawback for 2017 is about $75K.,0
176,There is a Coordinated Attack Against Trans Youth in State Legislatures,0
177,Impact Reporter,0
178,'I Was a Teen' Is a Shitty Excuse,0
179,Trudeau Sr. spent more money as a percentage of GDP than any PM of the last several decades.,0
180,PewDiePie must not be excused. Using the N-word is never OK,0
181,"I was just responding to your comment, JATK ...;

""So many disagree with you, Elaine!""",0
182,I went to an Oregon State Bar convention in Portland once last century.,0
183,How India's Changing Citizenship Law and a National Registry Could Target Muslims,0
184,"OMG, a former ADA with tight OSP connections (wave to the neighbors!)",0
185,Noticed that once again every medical association around including the American Medical Association and other Physician's organizations and major insurance companies are coming out against the Republican bill.,0
186,Macron’s track record is flimsy for a French presidential candidate.,0
187,Kara Walker in Basel: 600 shades of inequality - SWI swissinfo.ch,0
188,"If they want real, measurable diversity, they should promote research staff based on shoe size.",0
189,Now I have to get a little testy - I said Obama is not lobbying.,0
190,"I fly AC because I have to as I live in Saint John, NB.",0
191,"Yellow bruise on the breast: Causes, home remedies, and skin changes",0
192,The GOP is gaining among Texas Hispanics. Women are leading the charge.,0
193,There wlll be some surprises in Richmond.,0
194,News: UNM Newsroom,0
195,Taiwan reports new large-scale Chinese air force incursion,0
196,The Damage Fascism Has Done to Trans and Disability Research,0
197,Andy Marlette: Papantonio busts 'bandits' behind FPL bill spikes,0
198,*NOW* I understand the hate!,0
199,Foreign-born Black adults in the US have lower cardiovascular risk,0
200,Can You Increase Breast Size Naturally?,0
201,How an Erectile Dysfunction Ring Can Help Erectile Dysfunction,1
202,Ok so where are the great achievements of Vladimir's little boy?,0
203,A Very Brief & Exciting History Of The C-Word On Television,0
204,Cancel 'curry'? Why South Asian American chefs say it's time for the word to go,0
205,Cervical cancer kills Black women at a disproportionately higher rate than whites,0
206,So you're good with hundreds of our young dying in government care?,0
207,"Art Shell was modern NFL's first Black head coach, 33 years before Flores firing",1
208,It has never been about anything besides politics.,0
209,"Millions of workers in the United States, Britain and France have shifted their allegiance to leaders and parties that are authoritarian, racist and abusive of human rights - the world desperately needs a system of global rules that is fair to both capital and labour.",0
210,I doubt it.,0
211,"Having worked in both environments, it's from the employer the worker has to be worried about being intimidated.",0
212,"Magic Liger wrote: ""This is getting out of hand.",0
213,Who appointed the previous chief ?,0
214,"As U.S. Hunts for Chinese Spies, University Scientists Warn of Backlash",0
215,"It can be said that the legislature, not very happy with the presentation that Caldwell has been giving about the financing of the rail, could now be incredibly ticked off at Caldwell for causing such a commotion about the rail funding bill throughout the session that it forced a reorganization of at least the House, and maybe a partial in the Senate.",0
216,Confirmational bias is strongest amoungst the groundlings.,0
217,I read it when I was 19 :),0
218,What a sad sad waste of the tax payers money.,1
219,"One can only think that the media shills for Hill are still not letting this go to distract from the fact that the AP inappropriately and dishonestly declared her the Democratic nominee the night before the California primary despite the fact that she had not secured the required number of delegates yet :

http://heavy.com/news/2016/06/did-hillary-clinton-win-clinch-nomination-associated-press-ap-delegate-count-bernie-sanders-numbers/

Christy Clark is corrupt too.",0
220,"Max Sword,  you need to go.",1
221,What They Didn't Teach You In School: The Assassination Of Medgar Evers And The Murderer Who Walked Free For Three Decades,0
222,Akademiks Comes To The Defense Of Roddy Ricch,0
223,"Buoyed by Latino voters in Nevada, Sanders cements his frontrunner status",0
224,An Audience With LME chair Gay Huey Evans: ‘The Ring is an icon — it’s not going to close’,0
225,Library denied funding for gay books raises money with help of furries,0
226,Take them to the WTO and this time get a ruling.,0
227,"Southern black baseball league celebrates 100th anniversary, remembers history of segregation",0
228,I am 77 and way too many years have gone by for hope to remain.,0
229,Lol!,0
230,"Tell you what, BRO.",0
231,"Chinese dams on Mekong River endanger fish stocks, livelihoods, activists say",0
232,A strong force for inclusion | symmetry magazine,0
233,"Because the left wing, progressive media gives her the opportunity and they feel that everyone wants/needs to hear the ""real"" story.",0
234,Blue Footed Boobies: Wilmington rock pair commands attention,0
235,"For U.S. Latinos, COVID-19 Has Taken a Personal and Financial Toll",0
236,On what planet is that a homophobic comment?,1
237,Sonny Bill Williams and Andy Lee: An unlikely partnership of world champions,0
238,Latino population continues to grow in St. Louis region,0
239,"Thing is, it doesn't even make more money for businesses.",0
240,Summer Walker – 4th Baby Mama Lyrics,0
241,Not credible because he does not support the deep ecology narrative.,0
242,"Vote Liberal and you will get zero effect on housing affordability, homelessness, addiction deaths, heath care waits, education costs, pipelines or much in the way of earnings.",0
243,"Yes, the term is eliminated.",0
244,The whole point of the senate is to not be elected so they are not under any pressure to pander to the public.,1
245,Judges sentencing drug addicts to minimum sentences e.g.,1
246,Child Custody's Gender Gauntlet,0
247,Award-winning independent queer film THE GREENHOUSE to premiere on NETFLIX,0
248,Is the balaclava trend offensive? These Muslim women say it’s complicated,0
249,"Man Hurls Anti-LGBTQ Slurs, Threats at Gay Couple's Home in Staten Island – Gay City News",1
250,So in all this tit-for-tat going on has anyone ever explored how to align our stumpage fees with the U.S. market?,0
251,Doctors warn men to get COVID vaccination: 'Do it for your penis',1
252,Sex Story: The Start-Up Exec Having a Sexual Awakening,1
253,BIG EAST Honors Black Fives Era with 22 Games Across Entire Conference,0
254,Fairytale of New York: 'Faggot' row that became our worst festive tradition,1
255,Justin Thomas to undergo 'better person training' after homophobic slur,0
256,"""Shush the woman, then watch her roar""

In Hillary's case it should read ""defeat the woman, then watch her complain"".",1
257,You don't retaliate you negotiate.,0
258,"What, exactly, are you trying to say?",0
259,Virtual Voices of the Game: Adrian Burgos on Minnie Miñoso,0
260,Respect.,0
261,Papa John’s Founder Blames His Use of the N-Word on Kanye and Colonel Sanders,0
262,Oh pity the poor soul who has to sit between a married couple who are arguing.,1
263,Why American '80s televangelist Tammy Faye is admired by queer Australians today,0
264,"""LOL at the unadulterated spin.""",0
265,"Latino voters aren't apathetic, Sanders' Nevada win shows. Stop blaming them for low turnout.",0
266,"IRT Klastri, I'm a 100% disabled Vietnam veteran and one of the 8.92 million veterans enrolled in VA and one of the 5.69 million veterans under VA care of some 21.9 million veterans in the United States.",0
267,"Green's claim of ""false and misleading attacks"" is much like trump's claim of all news he doesn't like being ""fake news.""",1
268,Black-run trans agency holds grand opening,0
269,Salako-Oyedele enjoins Muslims to participate in politics,0
270,"Yet you read the column, did you also read the book?.",0
271,"It's called ""progressive liberalism"".",0
272,The details disclosed do not indicate that they are doing any tax planning beyond maximizing their TFSAs.,0
273,Did Colton Underwood Know He Was Gay When He Went on 'The Bachelor'?,0
274,"This Woman Traveled To Every Country On Earth. Here's How She Did It (And You Can, Too)",0
275,'Manifest' Season 2 Episode 7: Is Saanvi gay or bisexual? LGBTQ+ supporters thank showrunners for the twist,0
276,Hide the decline.,0
277,Stuff is melting.,0
278,Opinion | Why Bisexuals Should Come Out and Embrace the Label,0
279,A vote for a Green candidate is a vote for Christy Clark.,0
280,"""""According to Dr. Elizabeth Cascio, assistant professor of economics at Dartmouth College, state funding of universal kindergarten has “no discernible impact on many of the long-term outcomes desired by policymakers, including grade retention, public assistance receipt, employment, and earnings,” including “no positive effects for African Americans, despite comparable increases in their enrollment in public kindergartens after implementation of the initiatives.",0
281,"I once saw Keillor in the Owl Saloon in Livingston, MT.,  one weekend night.",0
282,Podcasts that make space for queer history,0
283,NYT?,0
284,"John Fagot, Legendary Promo Exec for Columbia, Capitol and Hollywood Records, Dies At 78",0
285,"From John Chaney to Ala Stanford, Smith Playground’s Black History Month exhibit honors Philly’s ‘Leaders and Legends’",0
286,Jen Winston's Book 'Greedy: Notes from a Bisexual Who Wants Too Much' Aims to Spark a Bisexual Revolution,0
287,"While the courts and lawsuit money is correct, the jury decisions are not based on factual evidence.",0
288,"Sidney Poitier, Who Paved the Way for Black Actors in Film, Dies at 94",0
289,Latino Chicago is more suburban yet more segregated,0
290,"Esteban Torres, L.A. congressman who championed Latino rights, dies at 91",0
291,Few here realize how precarious our tourist village is here.,0
292,"There's always one good thing about jerky neighbours: if you keep smiling and saying hello every time you see them (even if they ignore you), you make yourself look great!",0
293,"Disagreeing with Hillary's ""I am responsible, but lost because I'm a woman"" line doesn't mean you are a Trump supporter.",0
294,2 Biblical cities that summarize Lent and Easter,0
295,5 facts about black Democrats,0
296,"I certainly hope, you are right.",0
297,"AMVCA 2020: Living In Bondage, King Of Boys Get Multiple Nominations (FULL LIST)",0
298,Transcript: Free to State,0
299,Is There a New Lesbian Aesthetic?,0
300,OPINION: Censors love to target comics such as 'Maus.' Here's why.,0
301,I wonder is waiting until age 65 to collect the larger cpp payout would increase their income enough that their net income would be less due to increased tax payment or clawback of OAS,0
302,20 Chinese Foods You Need To Try At Least Once,0
303,Seeking Therapy in the South Asian Community,0
304,'Lesbian Diaries': Fatima Zahra Amzkar Tackles Plight of Morocco's LGBT Community,0
305,"IRT InHilo, I wished Dr. Mark Green had stayed in and expose the hypocrisy of the Liberal Left at the Senate hearings.",0
306,why the stupidity?,1
307,Peter Gay: Random thoughts on a snow-filled afternoon,1
308,And of course where men are under represented and shit on.,1
309,This Bisexual Speed Skater Just Made Olympic Medal History,0
310,"If Merkel is counting on  Macron, then he is obviously wrong choice for France.",0
311,Birds of Prey confirms that Harley Quinn is bisexual in a blink-and-you'll-miss-it moment,0
312,"yet even with the 3.3 million, she still couldn't win.",0
313,'Encanto' star Jessica Darrow is your new favourite queer icon,0
314,Lauren London Trends After Some Men Grossly Body Shame Her In New Flicks From Upcoming Netflix Comedy With Eddie Murphy & Nia Long,1
315,That is a thoughtful response.,0
316,"The only people feeling the ""prosperity"" are real estate developers, Christy herself and the people whose $200K house is now worth a million.",0
317,"""I don't think this was well thought out.""",0
318,"""No matter where or what, there are makers, takers, and fakers.""",0
319,Remembering Lata Mangeshkar: Decades of a musical journey,0
320,Ed means well but on this issue has a history of being out of touch.,0
321,"The police are legally allowed to lie to people, and as a result, now feel they can lie -and get away with it - as a matter of course, even under oath.",0
322,.,0
323,Great point...Great point...Great point...#MAGA,0
324,"Meanwhile, back to the concern for ""developing"" nations where human rights are quashed -  those 300,000 jobs were ""lost"" in a branch plant economy during the Greatest Recession that finance capital could produce.",0
325,also most of them doing this hula probably went to Cal Berkley.,0
326,Mexican journalists unwavering after spate of killings,0
327,"Morimoto, I agree with your comment except that I have not been able to find a credible report that a gate agent told the Schears they could use the no-show seat for their toddler.",0
328,Taking another tak on what is affected by the legislatures inaction on rail funding - the first person that is truly going to be affected by this is the political career of Mayor Kirk Caldwell.,0
329,You can’t disagree with Macron ‘has never led a political party; because he has not.,0
330,"I'm not seeking to ""win hearts & minds"" of self-serving antifluoridationists.",0
331,Let's keep snakes out of Alaska.,0
332,"Apparently in Pavone's pro life world, it's perfectly acceptable to make defunding Planned Parenthood the only pro life issue that counts.",0
333,'Cultural competence' key to reduce cardiometabolic risk among South Asian subgroups,0
334,A&W a dog.,0
335,Talking About Anti-Black Racism: Muslims Need to Be Real About Change This Black History Month,0
336,"After FBI spying, Muslim Americans ask Supreme Court to OK religious bias suit",0
337,Why 'The Matrix' matters to trans fans,0
338,Woman comes out as gay 6 years into marriage but stays with husband: 'He's my soulmate',0
339,We need all seven oil pipelines and we may eventually need water pipelines.,0
340,your grandpa was a wise and plain spoken man..,0
341,"it would be great if trudeau did something worthwhile in his foreign policy instead of going after the low hanging fruit 

the virtue signalling is wearing thin",0
342,Is this cheese lesbian? How a feta at S.F.’s Rainbow Grocery turned into an unlikely queer icon,0
343,Historian Jules Gill Peterson shares stories of trans experiences from the 1920s and 1930s,0
344,Did he win?,0
345,"Succession recap: season three, episode one – is Logan Roy on the ropes?",0
346,The G&M authors seem to think populism is a threat to democracy.,0
347,I agree O'Toole would be great,0
348,I volunteered for Ben.,0
349,"First, you lost context in the paraphrase: the a-typical cheatin' lesbian = Republican man.",0
350,‘MLK/FBI’ Director Sam Pollard Teams With ‘Summer Of Soul’ Exec Producers On Negro League Doc ‘The League’,0
351,"Canada taking trade action against the US reminds me of what I say to my wife:

""If you hit me, and I find out about it.........""",0
352,Slipknot Vocalist Tears Apart Machine Gun Kelly Calls Him a 'Weird Substitute Teacher' for Switching Genres,1
353,How the massive success of Soul Train proved the power of Black audiences : Planet Money,0
354,Queen Elizabeth Islands would have done it for you.,0
355,This is how you deal with a bully.,1
356,Really????,0
357,"Antisemitism affects our LGBTQ community, too",1
358,Reactions as #PolPotPatel trends due to Border Force immunity over refugee drownings,0
359,Screw the union-led Young Brothers LTD!,1
360,Comment of the week  !,0
361,"Years ago there was a letter in, IIRC the Vancouver SUN, from the president of the Canadian Bar association, arguing that gender/ethnicity etc.",0
362,I’m A Bisexual Woman. I’m Also A Christian. Here’s How I Came To Accept Myself.,0
363,"White defendant used racial slur after shooting Ahmaud Arbery, investigator testifies",0
364,'We are fighting for the rights of all Muslim women',0
365,Russia has been influencing politics and voting across Europe (at least) in recent years.,0
366,A Digital Archive of Black Fashion Delves Into Print,0
367,Florida’s Andrew Gillum on Ron DeSantis: “racists believe he’s a racist”,1
368,"I wouldn't go so far as to call media reports ""fake news"" but they definitely put a slant on their reporting when it comes to Trump.",0
369,"It's not a matter of IF the city gets more multi unit housing, it's HOW it's done and what type!",0
370,"Our Canadian regulatory body that was put in place; by the people, for the people, to protect the people - has failed the people yet again.",0
371,"30 years ago, I worked on the rigs in the Yukon.",0
372,"My understanding is that the current flooding problem is due to the fact that in and around cities, we have paved over the areas that would, in the past, have absorbed the rain, resulting in extra runoff into the rivers and extra accumulation on the surface, near homes and highways.",0
373,Two Latin American galleries expand into a shared space in New York,0
374,Harvard Can't Keep Muslim and Hindu Students in the Basement | Opinion,0
375,This article smells of hype.,0
376,"Since everyone is now deemed equal when it comes to the quality of their scholarly output, let's give everyone a PhD.",0
377,"China's zero-Covid strategy 'won't work' against omicron, says U.S. epidemiologist",0
378,Coronation Street: Former star Amanda Barrie says coming out as bisexual in the 1980s would have ended role,0
379,"As Hindu Extremists Call for Killing of Muslims, India’s Leaders Keep Silent",1
380,"In 1986, Golden Girls Created the Most Enduring Lesbian Joke on Television",0
381,Cyber-bully a child until they commit suicide?,1
382,Hope you would not propose this either federally or in Ontario?,0
383,Lesbian sues federal government after being rejected by foster agency,0
384,"When you saw that he'd ""liked"" your post under your ""name,"" why didn't you delete that star?",0
385,Keep crying.,0
386,"James' whoppers cont.......

4.",0
387,It's about time film began representing the lesbian gaze,0
388,Trump's biggest asset in the election was that he wasn't Hillary.,0
389,"Monique May Have Been Booted From ‘Bachie’, But Abbie’s The Real Villain Here",0
390,Rent the Runway introduces South Asian formal wear,0
391,'Gaydar' or 'wishdar'? The danger in obsessing over Shawn Mendes' sexuality,1
392,Those who identify with the smug self-involved left have difficulty reconciling the irony staring everyone else in the face.,0
393,She Supported Her Child Being Trans. So the State Separated Them.,0
394,South Asia needs a transnational seismological organisation,0
395,"By far, the most sophisticated and precise polling in the 2013 election was the BC Liberal internal, which guided their messaging and told them it would be a solid victory.",0
396,If you don't want to vote Green that is your choice.,0
397,60 Percent of Men Apparently Wash Their Penises Wrong,1
398,This place has a fabulous location.,0
399,Simone got it right....this is a legislative maneuver designed  to pay for tax cuts for the rich.,0
400,NO.,0
401,"Since we're talking about laughs ... saw a report on Trump's border ""wall"" and the claims of both Spicer and Mulvaney using photos of an ongoing construction of a steel wall dwarfing some chain-link fencing in New Mexico.",0
402,You mean you're not a multi-millionaire?,0
403,Man dies after he was injured by rooster during illegal cockfight in Bengal,1
404,From Bondage to Freedom | Underground Railroad carried many through region's communities,0
405,N-word dropped from French edition of Agatha Christie novel,0
406,"Job security for CPAs, to advise their clients in the fine art of itemized deductions.",0
407,The Making of a Coronavirus-Criminal Presidency,0
408,"Based on Amy Lynn 771's post, this one looks more like a Federal prosecution because the hooker displayed her 3-year old daughter on line to get a customer for her daughter and herself  and Spangler said, ""Sure, I'd like to  do that and I'm ready to pay $6,000 to do the two of you.""",0
409,"From what I've read, trolls or not, those who can't stand the Clinton brand praise Marine Le Pen.",0
410,Emory junior's debut novel showcases young Black Muslim women's voices | Emory University | Atlanta GA,0
411,"Here, allow me to fix that for you.",0
412,New queer bar coming to Southeast DC gets steps closer to opening doors,0
413,"I don't begrudge social spending directly on those who need it, but whenever people get their knickers in a knot about ""tax cuts affecting social spending"" do they ever for a moment consider the monstrous bureaucracy that has grown on top of the money going to social spending.",0
414,That is the issue: being a good campaigner is not the same as being a good leader.,0
415,The contrast between Cardinal Wuerl at the White House yesterday and Cardinal Tobin at this event is so striking.,0
416,Japanese rope-tying is more than bondage – The Vermont Cynic,0
417,A Senator from Oregon is a major force in the softwood lumber dispute.,0
418,"In Ontario the Highway Traffic Act may not apply to private property like parking lots, but the insurance at fault determination rules still apply.",0
419,Cheeni Indian Food Emporium opening in north Raleigh - Triangle Business Journal,0
420,"Airlines need more regulation that benefits passengers, not the airlines themselves.",0
421,Hockey fans brutally punch & kick gay man outside of arena after game,1
